# quote content, speaker
Do one thing every day that scares you., Eleanor Roosevelt
Truth is powerful and it prevails., Sojourner Truth
Either I will find a way or I will make one., Philip Sidney
Joy is what happens to us when we allow ourselves to recognize how good things really are., Marianne Williamson
To hell with circumstances; I create opportunities., Bruce Lee
I have no special talent. I am only passionately curious., Albert Einstein
We cannot hold a torch to light another's path without brightening our own., Ben Sweetland
Never mistake motion for action., Ernest Hemingway
The best way to predict your future is to create it., Peter Drucker
The cosmos is neither moral or immoral; only people are. He who would move the world must first move himself., Edward Ericson
There are no limitations to the mind except those we acknowledge., Napoleon Hill
I can't believe that God put us on this earth to be ordinary., Lou Holtz
Almost everything comes from nothing., Henri Amiel
Better than a thousand hollow words is one word that brings peace., Buddha
A person who never made a mistake never tried anything new., Albert Einstein
Happiness does not come about only due to external circumstances; it mainly derives from inner attitudes., Dalai Lama
Love is the master key that opens the gates of happiness., Oliver Wendell Holmes
Be yourself; everyone else is already taken., Oscar Wilde
You must do the things you think you cannot do., Eleanor Roosevelt
We read the world wrong and say that it deceives us., Rabindranath Tagore
What is a weed? A plant whose virtues have not yet been discovered., Ralph Waldo Emerson
Truth is generally the best vindication against slander., Abraham Lincoln
An idea that is developed and put into action is more important than an idea that exists only as an idea., Buddha
To climb steep hills requires a slow pace at first., William Shakespeare
Be the change that you want to see in the world., Mohandas Gandhi
We have committed the Golden Rule to memory; let us now commit it to life., Edwin Markham
Give thanks for a little and you will find a lot., Hausa
Let yourself be silently drawn by the stronger pull of what you really love., Rumi
Wrinkles should merely indicate where smiles have been., Mark Twain
I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on man unless they act., G.K. Chesterton
Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love., Lao Tzu
Be a good listener. Your ears will never get you in trouble., Frank Tyger
Things do not change; we change., Henry David Thoreau
The important thing is this: to be able at any moment to sacrifice what we are for what we could become., Charles Dubois
The only real mistake is the one from which we learn nothing., John Powell
Things that were hard to bear are sweet to remember., Seneca
We've got to have a dream if we are going to make a dream come true., Walt Disney
Compassion and happiness are not a sign of weakness but a sign of strength., Dalai Lama
Great ideas often receive violent opposition from mediocre minds., Albert Einstein
A jug fills drop by drop., Buddha
The wisest men follow their own direction., Euripides
All the flowers of all the tomorrows are in the seeds of today., Ancient Proverb
The power of intuitive understanding will protect you from harm until the end of your days., Laozi
No one has ever become poor by giving., Anne Frank
Yesterdays home runs don't win today's games., Babe Ruth
Something opens our wings. Something makes boredom and hurt disappear. Someone fills the cup in front of us: We taste only sacredness., Rumi
Waste no more time arguing what a good man should be. Be one., Marcus Aurelius
Bad times have a scientific value. These are occasions a good learner would not miss., Ralph Waldo Emerson
Knowing your own darkness is the best method for dealing with the darknesses of other people., Carl Jung
Whatever you are, be a good one., Abraham Lincoln
